#        T (MeV)     d\mu_e/dL_e   d\mu_\mu/dL_e  d\mu_\tau/dL_e  d\mu_{\nu_e}/dL_e   d\mu_{\nu_\mu}/dL_e  d\mu_{\nu_\tau}/dL_e     d\mu_Q/dL_e     d\mu_B/dL_e in units of T^-2
      9.2000e+02      1.8125e+00     -1.8777e-01     -2.5611e-01         2.3750e+00            3.7478e-01            3.0645e-01      5.6255e-01     -2.0559e-01
      9.2500e+02      1.8127e+00     -1.8753e-01     -2.5509e-01         2.3746e+00            3.7433e-01            3.0678e-01      5.6186e-01     -2.0544e-01
      9.3000e+02      1.8129e+00     -1.8730e-01     -2.5408e-01         2.3741e+00            3.7387e-01            3.0710e-01      5.6118e-01     -2.0527e-01
      9.3500e+02      1.8132e+00     -1.8707e-01     -2.5309e-01         2.3737e+00            3.7342e-01            3.0741e-01      5.6050e-01     -2.0510e-01
      9.4000e+02      1.8134e+00     -1.8685e-01     -2.5211e-01         2.3732e+00            3.7298e-01            3.0771e-01      5.5983e-01     -2.0491e-01
      9.4500e+02      1.8136e+00     -1.8662e-01     -2.5115e-01         2.3728e+00            3.7254e-01            3.0801e-01      5.5916e-01     -2.0472e-01
      9.5000e+02      1.8138e+00     -1.8640e-01     -2.5020e-01         2.3723e+00            3.7210e-01            3.0829e-01      5.5850e-01     -2.0452e-01
      9.5500e+02      1.8141e+00     -1.8618e-01     -2.4927e-01         2.3719e+00            3.7166e-01            3.0857e-01      5.5784e-01     -2.0431e-01
      9.6000e+02      1.8143e+00     -1.8596e-01     -2.4835e-01         2.3715e+00            3.7123e-01            3.0885e-01      5.5719e-01     -2.0409e-01
      9.6500e+02      1.8145e+00     -1.8574e-01     -2.4744e-01         2.3710e+00            3.7081e-01            3.0911e-01      5.5655e-01     -2.0387e-01
      9.7000e+02      1.8147e+00     -1.8553e-01     -2.4654e-01         2.3706e+00            3.7038e-01            3.0937e-01      5.5591e-01     -2.0363e-01
      9.7500e+02      1.8149e+00     -1.8531e-01     -2.4566e-01         2.3702e+00            3.6997e-01            3.0962e-01      5.5528e-01     -2.0339e-01
      9.8000e+02      1.8151e+00     -1.8510e-01     -2.4479e-01         2.3698e+00            3.6955e-01            3.0986e-01      5.5465e-01     -2.0314e-01
      9.8500e+02      1.8153e+00     -1.8489e-01     -2.4394e-01         2.3694e+00            3.6914e-01            3.1010e-01      5.5403e-01     -2.0289e-01
      9.9000e+02      1.8155e+00     -1.8469e-01     -2.4309e-01         2.3689e+00            3.6873e-01            3.1033e-01      5.5342e-01     -2.0263e-01
      9.9500e+02      1.8157e+00     -1.8448e-01     -2.4226e-01         2.3685e+00            3.6833e-01            3.1055e-01      5.5281e-01     -2.0236e-01
      1.0000e+03      1.8159e+00     -1.8428e-01     -2.4143e-01         2.3681e+00            3.6793e-01            3.1077e-01      5.5220e-01     -2.0208e-01
      1.0050e+03      1.8161e+00     -1.8407e-01     -2.4062e-01         2.3677e+00            3.6753e-01            3.1098e-01      5.5160e-01     -2.0180e-01
      1.0100e+03      1.8163e+00     -1.8387e-01     -2.3982e-01         2.3673e+00            3.6714e-01            3.1119e-01      5.5101e-01     -2.0151e-01
      1.0150e+03      1.8165e+00     -1.8368e-01     -2.3903e-01         2.3669e+00            3.6675e-01            3.1139e-01      5.5042e-01     -2.0122e-01
      1.0200e+03      1.8167e+00     -1.8348e-01     -2.3826e-01         2.3666e+00            3.6636e-01            3.1158e-01      5.4984e-01     -2.0092e-01
      1.0250e+03      1.8169e+00     -1.8328e-01     -2.3749e-01         2.3662e+00            3.6598e-01            3.1177e-01      5.4926e-01     -2.0061e-01
      1.0300e+03      1.8171e+00     -1.8309e-01     -2.3673e-01         2.3658e+00            3.6559e-01            3.1195e-01      5.4868e-01     -2.0030e-01
      1.0350e+03      1.8173e+00     -1.8290e-01     -2.3598e-01         2.3654e+00            3.6522e-01            3.1213e-01      5.4812e-01     -1.9998e-01
      1.0400e+03      1.8175e+00     -1.8271e-01     -2.3525e-01         2.3650e+00            3.6484e-01            3.1231e-01      5.4755e-01     -1.9966e-01
      1.0450e+03      1.8177e+00     -1.8252e-01     -2.3452e-01         2.3647e+00            3.6447e-01            3.1247e-01      5.4699e-01     -1.9934e-01
      1.0500e+03      1.8179e+00     -1.8233e-01     -2.3380e-01         2.3643e+00            3.6410e-01            3.1264e-01      5.4644e-01     -1.9901e-01
      1.0550e+03      1.8180e+00     -1.8215e-01     -2.3309e-01         2.3639e+00            3.6374e-01            3.1279e-01      5.4588e-01     -1.9867e-01
      1.0600e+03      1.8182e+00     -1.8196e-01     -2.3239e-01         2.3636e+00            3.6337e-01            3.1295e-01      5.4534e-01     -1.9834e-01
      1.0650e+03      1.8184e+00     -1.8178e-01     -2.3170e-01         2.3632e+00            3.6301e-01            3.1309e-01      5.4479e-01     -1.9800e-01
      1.0700e+03      1.8186e+00     -1.8160e-01     -2.3102e-01         2.3628e+00            3.6266e-01            3.1324e-01      5.4425e-01     -1.9766e-01
      1.0750e+03      1.8188e+00     -1.8142e-01     -2.3034e-01         2.3625e+00            3.6230e-01            3.1338e-01      5.4372e-01     -1.9731e-01
      1.0800e+03      1.8189e+00     -1.8124e-01     -2.2968e-01         2.3621e+00            3.6195e-01            3.1351e-01      5.4319e-01     -1.9696e-01
      1.0850e+03      1.8191e+00     -1.8106e-01     -2.2902e-01         2.3618e+00            3.6160e-01            3.1364e-01      5.4266e-01     -1.9662e-01
      1.0900e+03      1.8193e+00     -1.8088e-01     -2.2837e-01         2.3614e+00            3.6125e-01            3.1376e-01      5.4213e-01     -1.9627e-01
      1.0950e+03      1.8195e+00     -1.8071e-01     -2.2773e-01         2.3611e+00            3.6090e-01            3.1388e-01      5.4161e-01     -1.9591e-01
      1.1000e+03      1.8196e+00     -1.8053e-01     -2.2709e-01         2.3607e+00            3.6056e-01            3.1400e-01      5.4109e-01     -1.9556e-01
      1.1050e+03      1.8198e+00     -1.8036e-01     -2.2647e-01         2.3604e+00            3.6022e-01            3.1411e-01      5.4058e-01     -1.9520e-01
      1.1100e+03      1.8200e+00     -1.8019e-01     -2.2585e-01         2.3601e+00            3.5989e-01            3.1422e-01      5.4008e-01     -1.9483e-01
      1.1150e+03      1.8201e+00     -1.8002e-01     -2.2524e-01         2.3597e+00            3.5955e-01            3.1433e-01      5.3958e-01     -1.9446e-01
      1.1200e+03      1.8203e+00     -1.7985e-01     -2.2464e-01         2.3594e+00            3.5922e-01            3.1444e-01      5.3908e-01     -1.9409e-01
      1.1250e+03      1.8205e+00     -1.7969e-01     -2.2405e-01         2.3591e+00            3.5890e-01            3.1454e-01      5.3858e-01     -1.9372e-01
      1.1300e+03      1.8206e+00     -1.7952e-01     -2.2346e-01         2.3587e+00            3.5857e-01            3.1463e-01      5.3809e-01     -1.9334e-01
      1.1350e+03      1.8208e+00     -1.7936e-01     -2.2288e-01         2.3584e+00            3.5825e-01            3.1473e-01      5.3761e-01     -1.9296e-01
      1.1400e+03      1.8210e+00     -1.7920e-01     -2.2231e-01         2.3581e+00            3.5793e-01            3.1482e-01      5.3713e-01     -1.9258e-01
      1.1450e+03      1.8211e+00     -1.7904e-01     -2.2174e-01         2.3578e+00            3.5761e-01            3.1490e-01      5.3665e-01     -1.9220e-01
      1.1500e+03      1.8213e+00     -1.7888e-01     -2.2118e-01         2.3574e+00            3.5729e-01            3.1499e-01      5.3617e-01     -1.9182e-01
      1.1550e+03      1.8214e+00     -1.7872e-01     -2.2063e-01         2.3571e+00            3.5698e-01            3.1507e-01      5.3570e-01     -1.9143e-01
      1.1600e+03      1.8216e+00     -1.7856e-01     -2.2009e-01         2.3568e+00            3.5667e-01            3.1515e-01      5.3523e-01     -1.9105e-01
      1.1650e+03      1.8217e+00     -1.7841e-01     -2.1955e-01         2.3565e+00            3.5636e-01            3.1522e-01      5.3477e-01     -1.9066e-01
      1.1700e+03      1.8219e+00     -1.7825e-01     -2.1901e-01         2.3562e+00            3.5606e-01            3.1530e-01      5.3431e-01     -1.9027e-01
      1.1750e+03      1.8220e+00     -1.7810e-01     -2.1849e-01         2.3559e+00            3.5576e-01            3.1537e-01      5.3385e-01     -1.8988e-01
      1.1800e+03      1.8222e+00     -1.7794e-01     -2.1797e-01         2.3556e+00            3.5545e-01            3.1543e-01      5.3340e-01     -1.8948e-01
      1.1850e+03      1.8224e+00     -1.7779e-01     -2.1745e-01         2.3553e+00            3.5516e-01            3.1550e-01      5.3295e-01     -1.8909e-01
      1.1900e+03      1.8225e+00     -1.7764e-01     -2.1694e-01         2.3550e+00            3.5486e-01            3.1556e-01      5.3250e-01     -1.8870e-01
      1.1950e+03      1.8226e+00     -1.7749e-01     -2.1644e-01         2.3547e+00            3.5457e-01            3.1562e-01      5.3206e-01     -1.8830e-01
      1.2000e+03      1.8228e+00     -1.7735e-01     -2.1594e-01         2.3544e+00            3.5427e-01            3.1568e-01      5.3162e-01     -1.8790e-01
      1.2050e+03      1.8229e+00     -1.7720e-01     -2.1545e-01         2.3541e+00            3.5398e-01            3.1573e-01      5.3118e-01     -1.8751e-01
      1.2100e+03      1.8231e+00     -1.7705e-01     -2.1497e-01         2.3538e+00            3.5370e-01            3.1578e-01      5.3075e-01     -1.8711e-01
      1.2150e+03      1.8232e+00     -1.7691e-01     -2.1449e-01         2.3535e+00            3.5341e-01            3.1583e-01      5.3032e-01     -1.8672e-01
      1.2200e+03      1.8234e+00     -1.7677e-01     -2.1401e-01         2.3533e+00            3.5313e-01            3.1588e-01      5.2990e-01     -1.8632e-01
      1.2250e+03      1.8235e+00     -1.7662e-01     -2.1354e-01         2.3530e+00            3.5285e-01            3.1593e-01      5.2947e-01     -1.8593e-01
      1.2300e+03      1.8236e+00     -1.7648e-01     -2.1308e-01         2.3527e+00            3.5257e-01            3.1597e-01      5.2905e-01     -1.8553e-01
      1.2350e+03      1.8238e+00     -1.7634e-01     -2.1262e-01         2.3524e+00            3.5229e-01            3.1601e-01      5.2864e-01     -1.8513e-01
      1.2400e+03      1.8239e+00     -1.7620e-01     -2.1217e-01         2.3521e+00            3.5202e-01            3.1605e-01      5.2822e-01     -1.8473e-01
      1.2450e+03      1.8241e+00     -1.7607e-01     -2.1172e-01         2.3519e+00            3.5175e-01            3.1609e-01      5.2781e-01     -1.8433e-01
      1.2500e+03      1.8242e+00     -1.7593e-01     -2.1128e-01         2.3516e+00            3.5148e-01            3.1613e-01      5.2740e-01     -1.8394e-01
      1.2550e+03      1.8243e+00     -1.7579e-01     -2.1084e-01         2.3513e+00            3.5121e-01            3.1616e-01      5.2700e-01     -1.8354e-01
      1.2600e+03      1.8245e+00     -1.7566e-01     -2.1040e-01         2.3511e+00            3.5094e-01            3.1620e-01      5.2660e-01     -1.8314e-01
      1.2650e+03      1.8246e+00     -1.7552e-01     -2.0997e-01         2.3508e+00            3.5068e-01            3.1623e-01      5.2620e-01     -1.8274e-01
      1.2700e+03      1.8247e+00     -1.7539e-01     -2.0955e-01         2.3505e+00            3.5041e-01            3.1626e-01      5.2581e-01     -1.8234e-01
      1.2750e+03      1.8249e+00     -1.7526e-01     -2.0913e-01         2.3503e+00            3.5015e-01            3.1628e-01      5.2541e-01     -1.8195e-01
      1.2800e+03      1.8250e+00     -1.7513e-01     -2.0872e-01         2.3500e+00            3.4990e-01            3.1631e-01      5.2502e-01     -1.8155e-01
      1.2850e+03      1.8251e+00     -1.7500e-01     -2.0830e-01         2.3498e+00            3.4964e-01            3.1633e-01      5.2464e-01     -1.8115e-01
      1.2900e+03      1.8252e+00     -1.7487e-01     -2.0790e-01         2.3495e+00            3.4938e-01            3.1636e-01      5.2426e-01     -1.8076e-01
      1.2950e+03      1.8254e+00     -1.7474e-01     -2.0750e-01         2.3493e+00            3.4913e-01            3.1638e-01      5.2387e-01     -1.8036e-01
      1.3000e+03      1.8255e+00     -1.7462e-01     -2.0710e-01         2.3490e+00            3.4888e-01            3.1640e-01      5.2350e-01     -1.7996e-01
      1.3050e+03      1.8256e+00     -1.7449e-01     -2.0671e-01         2.3487e+00            3.4863e-01            3.1642e-01      5.2312e-01     -1.7957e-01
      1.3100e+03      1.8257e+00     -1.7437e-01     -2.0632e-01         2.3485e+00            3.4839e-01            3.1643e-01      5.2275e-01     -1.7918e-01
      1.3150e+03      1.8259e+00     -1.7424e-01     -2.0593e-01         2.3483e+00            3.4814e-01            3.1645e-01      5.2238e-01     -1.7878e-01
      1.3200e+03      1.8260e+00     -1.7412e-01     -2.0555e-01         2.3480e+00            3.4790e-01            3.1646e-01      5.2202e-01     -1.7839e-01
      1.3250e+03      1.8261e+00     -1.7400e-01     -2.0517e-01         2.3478e+00            3.4766e-01            3.1648e-01      5.2165e-01     -1.7800e-01
      1.3300e+03      1.8262e+00     -1.7387e-01     -2.0480e-01         2.3475e+00            3.4742e-01            3.1649e-01      5.2129e-01     -1.7761e-01
      1.3350e+03      1.8264e+00     -1.7375e-01     -2.0443e-01         2.3473e+00            3.4718e-01            3.1650e-01      5.2093e-01     -1.7722e-01
      1.3400e+03      1.8265e+00     -1.7363e-01     -2.0407e-01         2.3471e+00            3.4694e-01            3.1651e-01      5.2058e-01     -1.7683e-01
      1.3450e+03      1.8266e+00     -1.7352e-01     -2.0370e-01         2.3468e+00            3.4671e-01            3.1652e-01      5.2022e-01     -1.7644e-01
      1.3500e+03      1.8267e+00     -1.7340e-01     -2.0335e-01         2.3466e+00            3.4647e-01            3.1653e-01      5.1987e-01     -1.7606e-01
      1.3550e+03      1.8268e+00     -1.7328e-01     -2.0299e-01         2.3464e+00            3.4624e-01            3.1653e-01      5.1953e-01     -1.7567e-01
      1.3600e+03      1.8269e+00     -1.7317e-01     -2.0264e-01         2.3461e+00            3.4601e-01            3.1654e-01      5.1918e-01     -1.7529e-01
      1.3650e+03      1.8271e+00     -1.7305e-01     -2.0230e-01         2.3459e+00            3.4579e-01            3.1654e-01      5.1884e-01     -1.7490e-01
      1.3700e+03      1.8272e+00     -1.7294e-01     -2.0195e-01         2.3457e+00            3.4556e-01            3.1654e-01      5.1850e-01     -1.7452e-01
      1.3750e+03      1.8273e+00     -1.7282e-01     -2.0161e-01         2.3454e+00            3.4534e-01            3.1655e-01      5.1816e-01     -1.7413e-01
      1.3800e+03      1.8274e+00     -1.7271e-01     -2.0128e-01         2.3452e+00            3.4511e-01            3.1655e-01      5.1783e-01     -1.7375e-01
      1.3850e+03      1.8275e+00     -1.7260e-01     -2.0094e-01         2.3450e+00            3.4489e-01            3.1655e-01      5.1749e-01     -1.7337e-01
      1.3900e+03      1.8276e+00     -1.7249e-01     -2.0061e-01         2.3448e+00            3.4467e-01            3.1655e-01      5.1716e-01     -1.7299e-01
      1.3950e+03      1.8277e+00     -1.7238e-01     -2.0029e-01         2.3446e+00            3.4446e-01            3.1655e-01      5.1684e-01     -1.7261e-01
      1.4000e+03      1.8278e+00     -1.7227e-01     -1.9997e-01         2.3443e+00            3.4424e-01            3.1654e-01      5.1651e-01     -1.7224e-01
      1.4050e+03      1.8279e+00     -1.7216e-01     -1.9965e-01         2.3441e+00            3.4403e-01            3.1654e-01      5.1619e-01     -1.7186e-01
      1.4100e+03      1.8280e+00     -1.7205e-01     -1.9933e-01         2.3439e+00            3.4381e-01            3.1654e-01      5.1587e-01     -1.7149e-01
      1.4150e+03      1.8282e+00     -1.7195e-01     -1.9902e-01         2.3437e+00            3.4360e-01            3.1653e-01      5.1555e-01     -1.7112e-01
